week_start,sku_code,territory,distributor_id,primary_sales_units,primary_sales_value
2025-07-01,CK-005,Guwahati,GUW-D2,820,6150.0
2025-07-01,CK-005,Hyderabad,HYD-D2,1390,10425.0
2025-07-01,CK-005,Jaipur,JAI-D1,#N/A,5452.5
2025-07-01,CK-005,Kolkata,KOL-D2,1120,8400.0
2025-07-01,CK-005,Lucknow,LUC-D2,790,5925.0
2025-07-01,CK-005,Pune,PUN-D2,1362,10215.0
2025-07-01,CK-006,Ahmedabad,AHM-D2,1056,7920.0
2025-07-01,CK-006,Bengaluru,BEN-D2,1289,9667.5
2025-07-01,CK-006,Chennai,CHE-D1,1383,10372.5
2025-07-01,CK-006,Delhi,DEL-D1,1366,10245.0
2025-07-01,CK-006,Guwahati,GUW-D1,861,6457.5
2025-07-01,CK-006,Hyderabad,HYD-D1,1194,8955.0
2025-07-01,CK-006,Kolkata,KOL-D2,1178,8835.0
2025-07-01,CK-006,Mumbai,MUM-D2,1301,9757.5
2025-07-01,CK-006,Pune,PUN-D1,1114,8355.0
2025-07-01,CK-007,Ahmedabad,AHM-D1,441,9922.5
2025-07-01,CK-007,Delhi,DEL-D1,434,9765.0
2025-07-01,CK-007,Guwahati,GUW-D2,375,8437.5
2025-07-01,CK-007,Hyderabad,HYD-D2,468,10530.0
2025-07-01,CK-007,Jaipur,JAI-D1,335,7537.5
2025-07-01,CK-007,Kolkata,KOL-D2,535,12037.5
2025-07-01,CK-007,Patna,PAT-D2,393,8842.5
2025-07-01,CK-008,Ahmedabad,AHM-D2,563,12668.0
2025-07-01,CK-008,Bengaluru,BEN-D2,477,10732.0
2025-07-01,CK-008,Chennai,CHE-D2,487,10957.5
2025-07-01,CK-008,Delhi,DEL-D1,620,13950.0
2025-07-01,CK-008,Hyderabad,HYD-D1,470,10575.0
2025-07-01,CK-008,Jaipur,JAI-D1,300,6750.0
2025-07-01,CK-008,Pune,PUN-D1,529,11902.5
2025-07-01,CK-009,Bengaluru,BEN-D2,605,13612.5
2025-07-01,CK-009,Delhi,DEL-D1,486,10935.0
2025-07-01,CK-009,Guwahati,GUW-D2,9999,7605.0
2025-07-01,CK-009,Hyderabad,HYD-D1,-1,13252.5
2025-07-01,CK-009,Jaipur,JAI-D2,368,8280.0
2025-07-01,CK-009,Mumbai,MUM-D1,599,13477.5
2025-07-01,CK-009,Patna,PAT-D2,283,6367.5
2025-07-01,CK-010,Bengaluru,BEN-D1,543,12217.5
2025-07-01,CK-010,Chennai,CHE-D2,605,13612.5
2025-07-01,CK-010,Guwahati,GUW-D1,373,8392.5
2025-07-01,CK-010,Hyderabad,HYD-D1,#N/A,12015.0
2025-07-01,CK-010,Jaipur,JAI-D2,,6772.5
2025-07-01,CK-010,Kolkata,KOL-D1,608,13680.0
2025-07-01,CK-010,Mumbai,MUM-D2,623,14017.5
2025-07-01,CO-001,Ahmedabad,AHM-D1,996,7470.0
2025-07-01,CO-001,Bengaluru,BEN-D1,969,7267.5
2025-07-01,CO-001,Delhi,DEL-D1,1290,9675.0
2025-07-01,CO-001,Guwahati,GUW-D1,656,4920.0
2025-07-01,CO-001,Hyderabad,HYD-D2,1224,9180.0
2025-07-01,CO-001,Jaipur,JAI-D1,893,6698.0
2025-07-01,CO-001,Kolkata,KOL-D1,1379,10342.5
2025-07-01,CO-001,Lucknow,LUC-D2,899,6742.5
2025-07-01,CO-001,Mumbai,MUM-D2,1270,9525.0
2025-07-01,CO-001,Pune,PUN-D2,1111,8332.5
2025-07-01,CO-002,Ahmedabad,AHM-D1,1113,8347.5
2025-07-01,CO-002,Chennai,CHE-D1,1021,7657.5
2025-07-01,CO-002,Delhi,DEL-D1,1036,7770.0
2025-07-01,CO-002,Guwahati,GUW-D1,698,5235.0
2025-07-01,CO-002,Hyderabad,HYD-D1,1334,10005.0
2025-07-01,CO-002,Jaipur,JAI-D1,790,5925.0
2025-07-01,CO-002,Kolkata,KOL-D1,1054,7905.0
2025-07-01,CO-002,Lucknow,LUC-D2,716,5370.0
2025-07-01,CO-002,Mumbai,MUM-D2,960,7200.0
2025-07-01,CO-002,Pune,PUN-D2,958,7185.0
2025-07-01,CO-003,Ahmedabad,AHM-D2,1349,10117.5
2025-07-01,CO-003,Bengaluru,BEN-D2,1202,9015.0
2025-07-01,CO-003,Delhi,DEL-D2,1342,10065.0
2025-07-01,CO-003,Guwahati,GUW-D1,637,4777.5
2025-07-01,CO-003,Hyderabad,HYD-D2,1330,9975.0
2025-07-01,CO-003,Jaipur,JAI-D1,721,5407.5
2025-07-01,CO-003,Lucknow,LUC-D2,848,6360.0
2025-07-01,CO-003,Mumbai,MUM-D2,1182,8865.0
2025-07-01,CO-003,Patna,PAT-D1,756,5670.0
2025-07-01,CO-003,Pune,PUN-D1,1221,9157.5
2025-07-01,CO-004,Ahmedabad,AHM-D2,474,8887.5
2025-07-01,CO-004,Chennai,CHE-D2,424,7950.0
2025-07-01,CO-004,Delhi,DEL-D2,523,9806.0
2025-07-01,CO-004,Guwahati,GUW-D2,339,6356.25
2025-07-01,CO-004,Hyderabad,HYD-D2,444,8325.0
2025-07-01,CO-004,Jaipur,JAI-D1,364,6825.0
2025-07-01,CO-004,Lucknow,LUC-D2,340,6375.0
2025-07-01,CO-004,Mumbai,MUM-D1,586,10987.5
2025-07-01,CO-004,Patna,PAT-D1,280,5250.0
2025-07-01,CO-004,Pune,PUN-D2,536,10050.0
2025-07-01,CO-005,Ahmedabad,AHM-D1,494,9262.5
2025-07-01,CO-005,Bengaluru,BEN-D1,485,9094.0
2025-07-01,CO-005,Delhi,DEL-D2,434,8138.0
2025-07-01,CO-005,Guwahati,GUW-D2,362,6787.5
2025-07-01,CO-005,Hyderabad,HYD-D2,528,9900.0
2025-07-01,CO-005,Jaipur,JAI-D1,400,7500.0
2025-07-01,CO-005,Lucknow,LUC-D2,NA,5400.0
2025-07-01,CO-005,Mumbai,MUM-D1,#N/A,9393.75
2025-07-01,CO-005,Patna,PAT-D2,384,7200.0
2025-07-01,CO-005,Pune,PUN-D1,469,8794.0
2025-07-01,CO-006,Ahmedabad,AHM-D2,448,13440.0
2025-07-01,CO-006,Bengaluru,BEN-D1,579,17370.0
2025-07-01,CO-006,Chennai,CHE-D2,529,15870.0
2025-07-01,CO-006,Delhi,DEL-D2,471,14130.0
2025-07-01,CO-006,Hyderabad,HYD-D2,579,17370.0
2025-07-01,CO-006,Jaipur,JAI-D2,306,9180.0
2025-07-01,CO-006,Kolkata,KOL-D1,421,12630.0
2025-07-01,CO-006,Lucknow,LUC-D2,357,10710.0
2025-07-01,CO-006,Mumbai,MUM-D2,614,18420.0
2025-07-01,CO-006,Patna,PAT-D2,404,12120.0
2025-07-01,CO-006,Pune,PUN-D1,479,14370.0
2025-07-01,CO-007,Ahmedabad,AHM-D1,532,15960.0
2025-07-01,CO-007,Bengaluru,BEN-D1,609,18270.0
2025-07-01,CO-007,Chennai,CHE-D2,606,18180.0
2025-07-01,CO-007,Delhi,DEL-D1,559,16770.0
2025-07-01,CO-007,Jaipur,JAI-D1,371,11130.0
2025-07-01,CO-007,Kolkata,KOL-D1,502,15060.0
2025-07-01,CO-007,Lucknow,LUC-D1,345,10350.0
2025-07-01,CO-007,Mumbai,MUM-D1,565,16950.0
2025-07-01,CO-007,Patna,PAT-D1,303,9090.0
2025-07-01,CO-007,Pune,PUN-D2,487,14610.0
2025-07-01,CO-008,Ahmedabad,AHM-D1,211,9495.0
2025-07-01,CO-008,Chennai,CHE-D1,165,7425.0
2025-07-01,CO-008,Delhi,DEL-D2,216,9720.0
2025-07-01,CO-008,Hyderabad,HYD-D1,221,9945.0
2025-07-01,CO-008,Jaipur,JAI-D1,140,6300.0
2025-07-01,CO-008,Kolkata,KOL-D2,184,8280.0
2025-07-01,CO-008,Lucknow,LUC-D1,104,4680.0
2025-07-01,CO-008,Mumbai,MUM-D1,178,8010.0
2025-07-01,CO-008,Patna,PAT-D2,112,5040.0
2025-07-01,CO-008,Pune,PUN-D1,232,10440.0
2025-07-01,CO-009,Ahmedabad,AHM-D2,180,8100.0
2025-07-01,CO-009,Chennai,CHE-D2,199,8955.0
2025-07-01,CO-009,Delhi,DEL-D1,210,9450.0
2025-07-01,CO-009,Hyderabad,HYD-D2,211,9495.0
2025-07-01,CO-009,Jaipur,JAI-D1,117,5265.0
2025-07-01,CO-009,Kolkata,KOL-D1,183,8235.0
2025-07-01,CO-009,Lucknow,LUC-D1,109,4905.0
2025-07-01,CO-009,Mumbai,MUM-D1,190,8550.0
2025-07-01,CO-009,Pune,PUN-D1,192,8640.0
2025-07-01,CR-001,Ahmedabad,AHM-D1,1176,48510.0
2025-07-01,CR-001,Chennai,CHE-D1,1208,49830.0
2025-07-01,CR-001,Delhi,DEL-D2,1211,49953.75
2025-07-01,CR-001,Guwahati,GUW-D1,773,31886.25
2025-07-01,CR-001,Hyderabad,HYD-D2,1153,47561.25
2025-07-01,CR-001,Jaipur,JAI-D1,867,35763.75
2025-07-01,CR-001,Kolkata,KOL-D1,951,39228.75
2025-07-01,CR-001,Patna,PAT-D2,759,31308.75
2025-07-01,CR-001,Pune,PUN-D2,1270,52387.5
2025-07-01,CR-002,Ahmedabad,AHM-D1,1001,41291.25
2025-07-01,CR-002,Bengaluru,BEN-D1,1013,41786.25
2025-07-01,CR-002,Delhi,DEL-D2,1362,56182.5
2025-07-01,CR-002,Guwahati,GUW-D1,728,30030.0
2025-07-01,CR-002,Hyderabad,HYD-D1,1315,54243.75
2025-07-01,CR-002,Jaipur,JAI-D1,688,28380.0
2025-07-01,CR-002,Lucknow,LUC-D2,727,29988.75
2025-07-01,CR-002,Mumbai,MUM-D2,954,39352.5
2025-07-01,CR-002,Patna,PAT-D2,910,37537.5
2025-07-01,CR-003,Ahmedabad,AHM-D2,1343,55398.75
2025-07-01,CR-003,Bengaluru,BEN-D2,973,40136.25
2025-07-01,CR-003,Chennai,CHE-D2,1268,52305.0
2025-07-01,CR-003,Delhi,DEL-D2,,48180.0
2025-07-01,CR-003,Guwahati,GUW-D2,719,29658.75
2025-07-01,CR-003,Jaipur,JAI-D2,759,31308.75
2025-07-01,CR-003,Kolkata,KOL-D1,1297,53501.25
2025-07-01,CR-003,Mumbai,MUM-D2,#N/A,41250.0
2025-07-01,CR-003,Patna,PAT-D2,817,33701.25
2025-07-01,CR-004,Ahmedabad,AHM-D2,1140,47025.0
2025-07-01,CR-004,Bengaluru,BEN-D1,1138,46942.5
2025-07-01,CR-004,Delhi,DEL-D2,1018,41992.5
2025-07-01,CR-004,Guwahati,GUW-D1,881,36341.25
2025-07-01,CR-004,Hyderabad,HYD-D2,1369,56471.0
2025-07-01,CR-004,Jaipur,JAI-D1,648,26730.0
2025-07-01,CR-004,Lucknow,LUC-D1,706,29122.5
2025-07-01,CR-004,Mumbai,MUM-D1,1124,46365.0
2025-07-01,CR-004,Pune,PUN-D2,1220,50325.0
2025-07-01,CR-005,Ahmedabad,AHM-D1,NA,47678.0
2025-07-01,CR-005,Chennai,CHE-D2,478,46605.0
2025-07-01,CR-005,Jaipur,JAI-D1,334,32565.0
2025-07-01,CR-005,Kolkata,KOL-D2,612,59670.0
2025-07-01,CR-005,Lucknow,LUC-D2,327,31882.5
2025-07-01,CR-005,Mumbai,MUM-D2,540,52650.0
2025-07-01,CR-005,Pune,PUN-D2,-1,57427.5
2025-07-01,CR-006,Bengaluru,BEN-D1,530,51675.0
2025-07-01,CR-006,Hyderabad,HYD-D1,475,46312.5
2025-07-01,CR-006,Jaipur,JAI-D2,275,26812.5
2025-07-01,CR-006,Kolkata,KOL-D1,437,42607.5
2025-07-01,CR-006,Lucknow,LUC-D1,349,34027.5
2025-07-01,CR-006,Patna,PAT-D2,350,34125.0
2025-07-01,CR-006,Pune,PUN-D2,554,54015.0
2025-07-01,CR-007,Chennai,CHE-D1,230,43125.0
2025-07-01,CR-007,Hyderabad,HYD-D1,161,30187.5
2025-07-01,CR-007,Jaipur,JAI-D1,121,22687.5
2025-07-01,CR-007,Mumbai,MUM-D2,206,38625.0
2025-07-01,CR-007,Patna,PAT-D1,133,24937.5
2025-07-01,CR-008,Bengaluru,BEN-D2,202,37875.0
2025-07-01,CR-008,Delhi,DEL-D1,171,32062.0
2025-07-01,CR-008,Hyderabad,HYD-D2,195,36562.5
2025-07-01,CR-008,Mumbai,MUM-D1,180,33750.0
2025-07-01,CR-008,Pune,PUN-D1,197,36937.5
2025-07-01,CR-009,Chennai,CHE-D2,184,34500.0
2025-07-01,CR-009,Delhi,DEL-D1,219,41062.0
2025-07-01,CR-009,Guwahati,GUW-D2,140,26250.0
2025-07-01,CR-009,Lucknow,LUC-D1,149,27937.5
2025-07-01,CR-009,Patna,PAT-D1,112,21000.0
2025-07-01,GJ-001,Ahmedabad,AHM-D2,1050,7875.0
2025-07-01,GJ-001,Bengaluru,BEN-D1,1137,8528.0
2025-07-01,GJ-001,Delhi,DEL-D2,1292,9690.0
2025-07-01,GJ-001,Guwahati,GUW-D1,855,6412.5
2025-07-01,GJ-001,Hyderabad,HYD-D2,954,7155.0
2025-07-01,GJ-001,Jaipur,JAI-D2,726,5445.0
2025-07-01,GJ-001,Kolkata,KOL-D1,1119,8392.5
2025-07-01,GJ-001,Lucknow,LUC-D1,731,5482.5
2025-07-01,GJ-001,Mumbai,MUM-D1,1056,7920.0
2025-07-01,GJ-001,Patna,PAT-D1,866,6495.0
2025-07-01,GJ-001,Pune,PUN-D2,1041,7807.5
2025-07-01,GJ-002,Ahmedabad,AHM-D1,1266,9495.0
2025-07-01,GJ-002,Bengaluru,BEN-D1,1029,7717.5
2025-07-01,GJ-002,Chennai,CHE-D2,1024,7680.0
2025-07-01,GJ-002,Delhi,DEL-D1,1278,9585.0
2025-07-01,GJ-002,Guwahati,GUW-D2,653,4897.5
2025-07-01,GJ-002,Jaipur,JAI-D2,875,6562.5
2025-07-01,GJ-002,Kolkata,KOL-D1,1334,10005.0
2025-07-01,GJ-002,Lucknow,LUC-D1,878,6585.0
2025-07-01,GJ-002,Mumbai,MUM-D2,986,7395.0
2025-07-01,GJ-002,Patna,PAT-D1,710,5325.0
2025-07-01,GJ-002,Pune,PUN-D1,966,7245.0
2025-07-01,GJ-003,Ahmedabad,AHM-D2,NA,8662.5
2025-07-01,GJ-003,Bengaluru,BEN-D2,440,8250.0
2025-07-01,GJ-003,Chennai,CHE-D1,477,8943.75
2025-07-01,GJ-003,Delhi,DEL-D2,582,10912.5
2025-07-01,GJ-003,Guwahati,GUW-D1,304,5700.0
2025-07-01,GJ-003,Hyderabad,HYD-D1,482,9037.5
2025-07-01,GJ-003,Jaipur,JAI-D1,382,7162.5
2025-07-01,GJ-003,Lucknow,LUC-D1,392,7350.0
2025-07-01,GJ-003,Mumbai,MUM-D2,472,8850.0
2025-07-01,GJ-003,Pune,PUN-D1,512,9600.0
2025-07-01,GJ-004,Ahmedabad,AHM-D1,575,10781.25
2025-07-01,GJ-004,Delhi,DEL-D2,#N/A,8475.0
2025-07-01,GJ-004,Hyderabad,HYD-D2,477,8943.75
2025-07-01,GJ-004,Jaipur,JAI-D2,326,6112.5
2025-07-01,GJ-004,Kolkata,KOL-D1,574,10762.5
2025-07-01,GJ-004,Lucknow,LUC-D1,358,6712.5
2025-07-01,GJ-004,Mumbai,MUM-D1,576,10800.0
2025-07-01,GJ-004,Patna,PAT-D2,277,5193.75
2025-07-01,GJ-004,Pune,PUN-D2,507,9506.25
2025-07-01,GJ-005,Ahmedabad,AHM-D1,467,14010.0
2025-07-01,GJ-005,Delhi,DEL-D1,482,14460.0
2025-07-01,GJ-005,Hyderabad,HYD-D1,426,12780.0
2025-07-01,GJ-005,Jaipur,JAI-D1,319,9570.0
2025-07-01,GJ-005,Lucknow,LUC-D2,9999,11670.0
2025-07-01,GJ-005,Mumbai,MUM-D1,565,16950.0
2025-07-01,GJ-005,Patna,PAT-D2,324,9720.0
2025-07-01,GJ-005,Pune,PUN-D1,#N/A,17550.0
2025-07-01,GJ-006,Ahmedabad,AHM-D1,523,15690.0
2025-07-01,GJ-006,Delhi,DEL-D1,494,14820.0
2025-07-01,GJ-006,Guwahati,GUW-D1,278,8340.0
2025-07-01,GJ-006,Jaipur,JAI-D1,377,11310.0
2025-07-01,GJ-006,Lucknow,LUC-D2,296,8880.0
2025-07-01,GJ-006,Mumbai,MUM-D2,506,15180.0
2025-07-01,GJ-006,Patna,PAT-D1,346,10380.0
2025-07-01,GJ-006,Pune,PUN-D1,436,13080.0
2025-07-01,GJ-007,Ahmedabad,AHM-D1,207,9315.0
2025-07-01,GJ-007,Bengaluru,BEN-D2,179,8055.0
2025-07-01,GJ-007,Delhi,DEL-D2,158,7110.0
2025-07-01,GJ-007,Jaipur,JAI-D2,113,5085.0
2025-07-01,GJ-007,Kolkata,KOL-D1,192,8640.0
2025-07-01,GJ-007,Lucknow,LUC-D1,130,5850.0
2025-07-01,GJ-007,Mumbai,MUM-D2,185,8325.0
2025-07-01,GJ-007,Patna,PAT-D2,131,5895.0
2025-07-01,GJ-007,Pune,PUN-D1,156,7020.0
2025-07-01,GJ-008,Ahmedabad,AHM-D2,208,9360.0
2025-07-01,GJ-008,Bengaluru,BEN-D2,158,7110.0
2025-07-01,GJ-008,Delhi,DEL-D2,231,10395.0
2025-07-01,GJ-008,Jaipur,JAI-D2,134,6030.0
2025-07-01,GJ-008,Lucknow,LUC-D2,130,5850.0
2025-07-01,GJ-008,Mumbai,MUM-D2,159,7155.0
2025-07-01,GJ-008,Pune,PUN-D2,,7920.0
2025-07-01,GJ-009,Ahmedabad,AHM-D1,NA,8415.0
2025-07-01,GJ-009,Delhi,DEL-D1,188,8460.0
2025-07-01,GJ-009,Guwahati,GUW-D2,149,6705.0
2025-07-01,GJ-009,Jaipur,JAI-D1,147,6615.0
2025-07-01,GJ-009,Kolkata,KOL-D1,161,7245.0
2025-07-01,GJ-009,Lucknow,LUC-D1,134,6030.0
2025-07-01,GJ-009,Mumbai,MUM-D2,165,7425.0
2025-07-01,GJ-009,Patna,PAT-D1,103,4635.0
2025-07-01,GJ-009,Pune,PUN-D1,175,7875.0
2025-07-01,HC-001,Ahmedabad,AHM-D2,9999,55935.0
2025-07-01,HC-001,Bengaluru,BEN-D2,1009,45405.0
2025-07-01,HC-001,Chennai,CHE-D1,1247,56115.0
2025-07-01,HC-001,Delhi,DEL-D2,1234,55530.0
2025-07-01,HC-001,Guwahati,GUW-D1,739,33255.0
2025-07-01,HC-001,Hyderabad,HYD-D2,1266,56970.0
2025-07-01,HC-001,Jaipur,JAI-D1,9999,38340.0
2025-07-01,HC-001,Kolkata,KOL-D2,1206,54270.0
2025-07-01,HC-001,Lucknow,LUC-D2,639,28755.0
2025-07-01,HC-001,Mumbai,MUM-D1,1084,48780.0
2025-07-01,HC-001,Patna,PAT-D2,821,36945.0
2025-07-01,HC-001,Pune,PUN-D1,1308,58860.0
2025-07-01,HC-002,Ahmedabad,AHM-D2,1210,54450.0
2025-07-01,HC-002,Bengaluru,BEN-D2,NA,58545.0
2025-07-01,HC-002,Chennai,CHE-D1,1378,62010.0
2025-07-01,HC-002,Delhi,DEL-D1,1379,62055.0
2025-07-01,HC-002,Guwahati,GUW-D2,900,40500.0
2025-07-01,HC-002,Hyderabad,HYD-D2,1364,61380.0
2025-07-01,HC-002,Jaipur,JAI-D1,858,38610.0
2025-07-01,HC-002,Kolkata,KOL-D2,1396,62820.0
2025-07-01,HC-002,Lucknow,LUC-D2,891,40095.0
2025-07-01,HC-002,Mumbai,MUM-D2,1348,60660.0
2025-07-01,HC-002,Patna,PAT-D1,9999,38430.0
2025-07-01,HC-002,Pune,PUN-D2,1263,56835.0
2025-07-01,HC-003,Ahmedabad,AHM-D1,1243,55935.0
2025-07-01,HC-003,Bengaluru,BEN-D1,1083,48735.0
2025-07-01,HC-003,Chennai,CHE-D2,9999,57150.0
2025-07-01,HC-003,Delhi,DEL-D2,1376,61920.0
2025-07-01,HC-003,Guwahati,GUW-D2,694,31230.0
2025-07-01,HC-003,Hyderabad,HYD-D2,1368,61560.0
2025-07-01,HC-003,Jaipur,JAI-D1,799,35955.0
2025-07-01,HC-003,Kolkata,KOL-D2,1135,51075.0
2025-07-01,HC-003,Lucknow,LUC-D2,795,35775.0
2025-07-01,HC-003,Mumbai,MUM-D2,1171,52695.0
2025-07-01,HC-003,Patna,PAT-D1,783,35235.0
2025-07-01,HC-003,Pune,PUN-D2,1012,45540.0
2025-07-01,HC-004,Ahmedabad,AHM-D1,538,44385.0
2025-07-01,HC-004,Bengaluru,BEN-D2,503,41497.5
2025-07-01,HC-004,Chennai,CHE-D1,553,45622.5
2025-07-01,HC-004,Delhi,DEL-D1,530,43725.0
2025-07-01,HC-004,Guwahati,GUW-D2,367,30277.5
2025-07-01,HC-004,Hyderabad,HYD-D2,532,43890.0
2025-07-01,HC-004,Jaipur,JAI-D2,331,27308.0
2025-07-01,HC-004,Kolkata,KOL-D1,9999,47685.0
2025-07-01,HC-004,Lucknow,LUC-D2,336,27720.0
2025-07-01,HC-004,Mumbai,MUM-D2,460,37950.0
2025-07-01,HC-004,Patna,PAT-D1,324,26730.0
2025-07-01,HC-004,Pune,PUN-D2,601,49582.5
2025-07-01,HC-005,Ahmedabad,AHM-D1,611,50407.5
2025-07-01,HC-005,Bengaluru,BEN-D1,545,44962.0
2025-07-01,HC-005,Chennai,CHE-D2,450,37125.0
2025-07-01,HC-005,Delhi,DEL-D1,551,45457.5
2025-07-01,HC-005,Guwahati,GUW-D1,393,32422.5
2025-07-01,HC-005,Hyderabad,HYD-D1,506,41745.0
2025-07-01,HC-005,Jaipur,JAI-D1,274,22605.0
2025-07-01,HC-005,Kolkata,KOL-D1,496,40920.0
2025-07-01,HC-005,Lucknow,LUC-D1,9999,22852.0
2025-07-01,HC-005,Mumbai,MUM-D2,427,35227.5
2025-07-01,HC-005,Patna,PAT-D1,349,28792.5
2025-07-01,HC-005,Pune,PUN-D2,505,41662.5
2025-07-01,HC-006,Ahmedabad,AHM-D1,596,49170.0
2025-07-01,HC-006,Bengaluru,BEN-D2,461,38032.5
2025-07-01,HC-006,Chennai,CHE-D1,476,39270.0
2025-07-01,HC-006,Delhi,DEL-D1,466,38445.0
2025-07-01,HC-006,Guwahati,GUW-D1,287,23677.5
2025-07-01,HC-006,Hyderabad,HYD-D2,9999,46612.0
2025-07-01,HC-006,Jaipur,JAI-D1,406,33495.0
2025-07-01,HC-006,Kolkata,KOL-D2,610,50325.0
2025-07-01,HC-006,Lucknow,LUC-D2,9999,28710.0
2025-07-01,HC-006,Mumbai,MUM-D2,460,37950.0
2025-07-01,HC-006,Patna,PAT-D1,309,25492.0
2025-07-01,HC-006,Pune,PUN-D1,437,36052.5
2025-07-01,HC-007,Ahmedabad,AHM-D1,233,34775.25
2025-07-01,HC-007,Bengaluru,BEN-D1,192,28656.0
2025-07-01,HC-007,Chennai,CHE-D1,220,32835.0
2025-07-01,HC-007,Delhi,DEL-D2,192,28656.0
2025-07-01,HC-007,Guwahati,GUW-D2,102,15223.5
2025-07-01,HC-007,Hyderabad,HYD-D2,199,29700.75
2025-07-01,HC-007,Jaipur,JAI-D1,131,19551.75
2025-07-01,HC-007,Kolkata,KOL-D2,200,29850.0
2025-07-01,HC-007,Lucknow,LUC-D2,133,19850.25
2025-07-01,HC-007,Mumbai,MUM-D2,193,28805.25
2025-07-01,HC-007,Patna,PAT-D1,148,22089.0
2025-07-01,HC-007,Pune,PUN-D1,220,32835.0
2025-07-01,HC-008,Ahmedabad,AHM-D1,205,30596.25
2025-07-01,HC-008,Bengaluru,BEN-D2,190,28357.5
2025-07-01,HC-008,Chennai,CHE-D2,177,26417.25
2025-07-01,HC-008,Delhi,DEL-D1,163,24328.0
2025-07-01,HC-008,Guwahati,GUW-D1,144,21492.0
2025-07-01,HC-008,Hyderabad,HYD-D1,205,30596.25
2025-07-01,HC-008,Jaipur,JAI-D2,149,22238.25
2025-07-01,HC-008,Kolkata,KOL-D1,200,29850.0
2025-07-01,HC-008,Lucknow,LUC-D1,115,17163.75
2025-07-01,HC-008,Mumbai,MUM-D1,234,34924.5
2025-07-01,HC-008,Patna,PAT-D2,121,18059.25
2025-07-01,HC-008,Pune,PUN-D2,169,25223.25
2025-07-01,MG-001,Bengaluru,BEN-D1,-1,38610.0
2025-07-01,MG-001,Chennai,CHE-D1,1145,47231.0
2025-07-01,MG-001,Delhi,DEL-D2,1273,52511.0
2025-07-01,MG-001,Hyderabad,HYD-D2,1290,53212.5
2025-07-01,MG-001,Jaipur,JAI-D2,694,28627.5
2025-07-01,MG-001,Lucknow,LUC-D1,736,30360.0
2025-07-01,MG-001,Mumbai,MUM-D1,1247,51438.75
2025-07-01,MG-001,Patna,PAT-D1,798,32917.5
2025-07-01,MG-001,Pune,PUN-D1,1326,54697.5
2025-07-01,MG-002,Ahmedabad,AHM-D1,1328,54780.0
2025-07-01,MG-002,Bengaluru,BEN-D2,953,39311.25
2025-07-01,MG-002,Chennai,CHE-D1,936,38610.0
2025-07-01,MG-002,Hyderabad,HYD-D1,990,40838.0
2025-07-01,MG-002,Jaipur,JAI-D2,738,30442.5
2025-07-01,MG-002,Kolkata,KOL-D2,949,39146.25
